question,answer,type,difficulty
6 + 9,15,addition,0
8 + 9,17,addition,0
9 + 4,13,addition,0
8 + 2,10,addition,0
1 + 6,7,addition,0
8 + 0,8,addition,0
2 + 2,4,addition,0
8 + 0,8,addition,0
4 + 4,8,addition,0
1 + 4,5,addition,0
5 + 4,9,addition,0
6 + 4,10,addition,0
0 + 1,1,addition,0
7 + 10,17,addition,0
1 + 4,5,addition,0
3 + 2,5,addition,0
8 + 1,9,addition,0
5 + 5,10,addition,0
7 + 2,9,addition,0
4 + 6,10,addition,0
1 + 0,1,addition,0
2 + 10,12,addition,0
0 + 0,0,addition,0
9 + 7,16,addition,0
7 + 6,13,addition,0
6 - 0,6,subtraction,0
9 - 6,3,subtraction,0
10 - 6,4,subtraction,0
7 - 2,5,subtraction,0
9 - 4,5,subtraction,0
9 - 1,8,subtraction,0
3 - 2,1,subtraction,0
9 - 7,2,subtraction,0
7 - 5,2,subtraction,0
7 - 0,7,subtraction,0
7 - 3,4,subtraction,0
8 - 6,2,subtraction,0
7 - 3,4,subtraction,0
10 - 8,2,subtraction,0
8 - 8,0,subtraction,0
8 - 8,0,subtraction,0
5 - 2,3,subtraction,0
7 - 4,3,subtraction,0
3 - 2,1,subtraction,0
7 - 1,6,subtraction,0
6 - 3,3,subtraction,0
9 - 7,2,subtraction,0
1 - 1,0,subtraction,0
10 - 4,6,subtraction,0
3 - 2,1,subtraction,0
1 × 8,8,multiplication,0
1 × 6,6,multiplication,0
0 × 4,0,multiplication,0
1 × 1,1,multiplication,0
5 × 6,30,multiplication,0
1 × 9,9,multiplication,0
3 × 11,33,multiplication,0
1 × 4,4,multiplication,0
2 × 1,2,multiplication,0
1 × 10,10,multiplication,0
2 × 11,22,multiplication,0
0 × 1,0,multiplication,0
1 × 5,5,multiplication,0
0 × 6,0,multiplication,0
3 × 1,3,multiplication,0
0 × 7,0,multiplication,0
2 × 3,6,multiplication,0
3 × 11,33,multiplication,0
3 × 12,36,multiplication,0
4 × 3,12,multiplication,0
4 × 2,8,multiplication,0
5 × 11,55,multiplication,0
2 × 1,2,multiplication,0
5 × 8,40,multiplication,0
4 × 4,16,multiplication,0
10 ÷ 2,5,division,0
0 ÷ 8,0,division,0
0 ÷ 4,0,division,0
9 ÷ 9,1,division,0
2 ÷ 2,1,division,0
0 ÷ 7,0,division,0
0 ÷ 4,0,division,0
4 ÷ 4,1,division,0
10 ÷ 10,1,division,0
0 ÷ 3,0,division,0
0 ÷ 5,0,division,0
7 ÷ 7,1,division,0
4 ÷ 1,4,division,0
7 ÷ 7,1,division,0
0 ÷ 9,0,division,0
0 ÷ 11,0,division,0
0 ÷ 12,0,division,0
0 ÷ 10,0,division,0
0 ÷ 4,0,division,0
0 ÷ 11,0,division,0
8 ÷ 4,2,division,0
0 ÷ 2,0,division,0
9 ÷ 9,1,division,0
0 ÷ 1,0,division,0
0 ÷ 5,0,division,0
18 + 18,36,addition,1
14 + 7,21,addition,1
15 + 11,26,addition,1
12 + 2,14,addition,1
6 + 0,6,addition,1
14 + 3,17,addition,1
9 + 3,12,addition,1
12 + 2,14,addition,1
9 + 0,9,addition,1
4 + 20,24,addition,1
6 + 9,15,addition,1
12 + 3,15,addition,1
4 + 19,23,addition,1
4 + 8,12,addition,1
20 + 12,32,addition,1
3 + 14,17,addition,1
3 + 18,21,addition,1
15 + 3,18,addition,1
20 + 13,33,addition,1
12 + 7,19,addition,1
7 + 20,27,addition,1
6 + 12,18,addition,1
20 + 17,37,addition,1
14 + 13,27,addition,1
3 + 13,16,addition,1
14 - 6,8,subtraction,1
17 - 2,15,subtraction,1
20 - 6,14,subtraction,1
10 - 9,1,subtraction,1
15 - 7,8,subtraction,1
12 - 6,6,subtraction,1
20 - 20,0,subtraction,1
5 - 3,2,subtraction,1
6 - 5,1,subtraction,1
16 - 14,2,subtraction,1
11 - 11,0,subtraction,1
7 - 7,0,subtraction,1
17 - 11,6,subtraction,1
18 - 5,13,subtraction,1
9 - 9,0,subtraction,1
12 - 5,7,subtraction,1
19 - 2,17,subtraction,1
18 - 4,14,subtraction,1
14 - 1,13,subtraction,1
19 - 5,14,subtraction,1
15 - 0,15,subtraction,1
20 - 10,10,subtraction,1
8 - 8,0,subtraction,1
10 - 2,8,subtraction,1
17 - 2,15,subtraction,1
3 × 11,33,multiplication,1
10 × 12,120,multiplication,1
8 × 9,72,multiplication,1
3 × 12,36,multiplication,1
8 × 6,48,multiplication,1
2 × 7,14,multiplication,1
5 × 9,45,multiplication,1
9 × 9,81,multiplication,1
9 × 6,54,multiplication,1
9 × 7,63,multiplication,1
10 × 8,80,multiplication,1
3 × 8,24,multiplication,1
9 × 9,81,multiplication,1
1 × 10,10,multiplication,1
3 × 3,9,multiplication,1
1 × 7,7,multiplication,1
7 × 6,42,multiplication,1
10 × 8,80,multiplication,1
4 × 11,44,multiplication,1
2 × 12,24,multiplication,1
6 × 4,24,multiplication,1
6 × 5,30,multiplication,1
2 × 11,22,multiplication,1
3 × 7,21,multiplication,1
3 × 7,21,multiplication,1
12 ÷ 12,1,division,1
0 ÷ 9,0,division,1
20 ÷ 10,2,division,1
12 ÷ 12,1,division,1
20 ÷ 5,4,division,1
6 ÷ 6,1,division,1
16 ÷ 8,2,division,1
0 ÷ 11,0,division,1
18 ÷ 9,2,division,1
20 ÷ 5,4,division,1
0 ÷ 8,0,division,1
0 ÷ 1,0,division,1
8 ÷ 2,4,division,1
0 ÷ 11,0,division,1
15 ÷ 1,15,division,1
4 ÷ 2,2,division,1
0 ÷ 6,0,division,1
7 ÷ 7,1,division,1
10 ÷ 5,2,division,1
18 ÷ 6,3,division,1
0 ÷ 6,0,division,1
3 ÷ 3,1,division,1
18 ÷ 6,3,division,1
14 ÷ 7,2,division,1
0 ÷ 11,0,division,1
23 + 16,39,addition,2
38 + 46,84,addition,2
20 + 14,34,addition,2
30 + 50,80,addition,2
41 + 49,90,addition,2
35 + 37,72,addition,2
15 + 48,63,addition,2
45 + 28,73,addition,2
28 + 31,59,addition,2
21 + 19,40,addition,2
35 + 39,74,addition,2
47 + 49,96,addition,2
29 + 13,42,addition,2
46 + 44,90,addition,2
14 + 27,41,addition,2
16 + 12,28,addition,2
21 + 19,40,addition,2
21 + 17,38,addition,2
47 + 41,88,addition,2
35 + 50,85,addition,2
44 + 35,79,addition,2
46 + 11,57,addition,2
11 + 15,26,addition,2
33 + 48,81,addition,2
27 + 39,66,addition,2
39 - 23,16,subtraction,2
49 - 48,1,subtraction,2
39 - 30,9,subtraction,2
46 - 34,12,subtraction,2
50 - 11,39,subtraction,2
39 - 23,16,subtraction,2
46 - 43,3,subtraction,2
25 - 13,12,subtraction,2
43 - 40,3,subtraction,2
35 - 15,20,subtraction,2
34 - 25,9,subtraction,2
46 - 41,5,subtraction,2
32 - 22,10,subtraction,2
31 - 30,1,subtraction,2
36 - 11,25,subtraction,2
18 - 18,0,subtraction,2
50 - 43,7,subtraction,2
48 - 20,28,subtraction,2
44 - 13,31,subtraction,2
33 - 13,20,subtraction,2
49 - 34,15,subtraction,2
46 - 37,9,subtraction,2
43 - 22,21,subtraction,2
45 - 39,6,subtraction,2
35 - 22,13,subtraction,2
21 × 8,168,multiplication,2
16 × 10,160,multiplication,2
18 × 5,90,multiplication,2
22 × 4,88,multiplication,2
23 × 12,276,multiplication,2
15 × 1,15,multiplication,2
22 × 2,44,multiplication,2
14 × 5,70,multiplication,2
20 × 5,100,multiplication,2
9 × 10,90,multiplication,2
12 × 3,36,multiplication,2
14 × 5,70,multiplication,2
23 × 12,276,multiplication,2
12 × 9,108,multiplication,2
15 × 8,120,multiplication,2
14 × 10,140,multiplication,2
18 × 1,18,multiplication,2
9 × 2,18,multiplication,2
22 × 11,242,multiplication,2
23 × 11,253,multiplication,2
20 × 6,120,multiplication,2
8 × 6,48,multiplication,2
22 × 6,132,multiplication,2
25 × 3,75,multiplication,2
18 × 6,108,multiplication,2
42 ÷ 6,7,division,2
48 ÷ 8,6,division,2
49 ÷ 7,7,division,2
36 ÷ 9,4,division,2
40 ÷ 10,4,division,2
24 ÷ 8,3,division,2
45 ÷ 9,5,division,2
50 ÷ 10,5,division,2
36 ÷ 9,4,division,2
28 ÷ 4,7,division,2
50 ÷ 2,25,division,2
8 ÷ 8,1,division,2
30 ÷ 10,3,division,2
44 ÷ 2,22,division,2
24 ÷ 12,2,division,2
7 ÷ 7,1,division,2
