question,answer,wrong1,wrong2,difficulty,type
10 - 7 =,3.0,2.0,0.0,0,subtraction
20 + 2 =,22.0,24.0,21.0,0,addition
19 - 4 =,15.0,18.0,14.0,0,subtraction
18 + 4 =,22.0,25.0,20.0,1,addition
16 - 13 =,3.0,6.0,5.0,0,subtraction
15 + 9 =,24.0,25.0,27.0,1,addition
15 - 8 =,7.0,10.0,4.0,1,subtraction
5 - 0 =,5.0,2.0,4.0,1,subtraction
4 + 14 =,18.0,17.0,20.0,1,addition
4 + 4 =,8.0,11.0,5.0,0,addition
4 - 2 =,2.0,0.0,4.0,1,subtraction
17 - 7 =,10.0,9.0,7.0,1,subtraction
6 + 0 =,6.0,8.0,9.0,1,addition
16 + 20 =,36.0,35.0,34.0,0,addition
19 - 7 =,12.0,11.0,13.0,1,subtraction
6 - 4 =,2.0,3.0,0.0,0,subtraction
14 + 2 =,16.0,19.0,18.0,0,addition
9 + 2 =,11.0,12.0,14.0,1,addition
11 - 8 =,3.0,6.0,1.0,1,subtraction
16 - 1 =,15.0,14.0,16.0,1,subtraction
4 - 1 =,3.0,4.0,2.0,0,subtraction
11 + 1 =,12.0,14.0,13.0,0,addition
12 - 9 =,3.0,2.0,1.0,0,subtraction
14 + 3 =,17.0,20.0,16.0,0,addition
1 + 14 =,15.0,16.0,17.0,0,addition
12 - 0 =,12.0,10.0,9.0,1,subtraction
14 + 18 =,32.0,29.0,31.0,0,addition
19 - 17 =,2.0,3.0,0.0,0,subtraction
8 + 9 =,17.0,19.0,16.0,1,addition
7 + 6 =,13.0,11.0,12.0,0,addition
8 - 5 =,3.0,6.0,4.0,1,subtraction
9 - 2 =,7.0,4.0,9.0,1,subtraction
16 - 12 =,4.0,1.0,3.0,0,subtraction
16 - 16 =,0.0,1.0,2.0,1,subtraction
16 - 15 =,1.0,3.0,4.0,0,subtraction
7 + 20 =,27.0,30.0,26.0,0,addition
17 + 17 =,34.0,31.0,36.0,0,addition
19 - 3 =,16.0,18.0,15.0,1,subtraction
15 + 3 =,18.0,20.0,15.0,1,addition
2 + 9 =,11.0,14.0,13.0,1,addition
7 + 19 =,26.0,28.0,27.0,0,addition
19 - 5 =,14.0,17.0,16.0,1,subtraction
18 + 18 =,36.0,39.0,33.0,0,addition
17 - 13 =,4.0,7.0,2.0,0,subtraction
13 - 9 =,4.0,6.0,2.0,1,subtraction
13 - 2 =,11.0,12.0,8.0,1,subtraction
18 - 6 =,12.0,10.0,15.0,0,subtraction
20 - 5 =,15.0,12.0,17.0,1,subtraction
12 + 1 =,13.0,15.0,14.0,1,addition
0 + 2 =,2.0,5.0,4.0,0,addition
8 + 6 =,14.0,12.0,15.0,0,addition
10 + 17 =,27.0,30.0,28.0,1,addition
17 - 3 =,14.0,16.0,15.0,0,subtraction
16 + 2 =,18.0,19.0,16.0,0,addition
20 - 0 =,20.0,19.0,17.0,1,subtraction
10 - 6 =,4.0,2.0,5.0,1,subtraction
14 - 2 =,12.0,9.0,14.0,0,subtraction
20 - 2 =,18.0,20.0,16.0,0,subtraction
2 + 2 =,4.0,3.0,2.0,0,addition
13 - 8 =,5.0,6.0,3.0,1,subtraction
14 - 10 =,4.0,3.0,2.0,0,subtraction
16 + 16 =,32.0,35.0,33.0,1,addition
17 + 5 =,22.0,19.0,23.0,1,addition
14 - 2 =,12.0,10.0,13.0,0,subtraction
10 + 14 =,24.0,27.0,22.0,1,addition
7 - 6 =,1.0,0.0,4.0,0,subtraction
8 - 8 =,0.0,1.0,2.0,1,subtraction
14 - 13 =,1.0,4.0,3.0,0,subtraction
15 + 13 =,28.0,29.0,25.0,1,addition
8 - 1 =,7.0,5.0,8.0,0,subtraction
8 + 12 =,20.0,17.0,22.0,1,addition
9 + 10 =,19.0,16.0,18.0,1,addition
8 + 16 =,24.0,27.0,25.0,0,addition
11 + 12 =,23.0,22.0,25.0,0,addition
13 + 6 =,19.0,16.0,20.0,0,addition
18 - 11 =,7.0,5.0,6.0,1,subtraction
13 + 9 =,22.0,24.0,25.0,0,addition
14 + 1 =,15.0,18.0,16.0,0,addition
20 + 18 =,38.0,37.0,35.0,1,addition
12 + 4 =,16.0,13.0,14.0,0,addition
7 + 2 =,9.0,11.0,10.0,0,addition
4 + 2 =,6.0,9.0,4.0,1,addition
13 + 3 =,16.0,13.0,19.0,1,addition
12 + 0 =,12.0,13.0,14.0,1,addition
6 + 18 =,24.0,27.0,23.0,1,addition
18 - 4 =,14.0,13.0,11.0,0,subtraction
20 + 15 =,35.0,38.0,33.0,1,addition
17 - 16 =,1.0,4.0,0.0,0,subtraction
0 + 0 =,0.0,1.0,3.0,0,addition
2 + 13 =,15.0,17.0,16.0,0,addition
20 + 1 =,21.0,23.0,24.0,0,addition
18 - 3 =,15.0,17.0,18.0,0,subtraction
6 + 10 =,16.0,14.0,15.0,0,addition
11 + 11 =,22.0,25.0,19.0,0,addition
20 + 12 =,32.0,35.0,30.0,0,addition
7 - 6 =,1.0,4.0,3.0,1,subtraction
15 + 7 =,22.0,19.0,21.0,0,addition
14 - 14 =,0.0,3.0,1.0,1,subtraction
10 + 9 =,19.0,20.0,17.0,0,addition
