question,answer,wrong1,wrong2,difficulty,type
10 - 7 =,3,5,1,0,subtraction
20 + 2 =,22,24,20,0,addition
19 - 4 =,15,16,14,0,subtraction
18 + 4 =,22,23,21,1,addition
16 - 13 =,3,4,2,0,subtraction
15 + 9 =,24,26,22,1,addition
15 - 8 =,7,8,6,1,subtraction
5 - 0 =,5,6,4,1,subtraction
4 + 14 =,18,20,16,1,addition
4 + 4 =,8,9,7,0,addition
4 - 2 =,2,3,1,1,subtraction
17 - 7 =,10,12,8,1,subtraction
6 + 0 =,6,8,4,1,addition
16 + 20 =,36,37,35,0,addition
19 - 7 =,12,13,11,1,subtraction
6 - 4 =,2,4,0,0,subtraction
14 + 2 =,16,17,15,0,addition
9 + 2 =,11,12,10,1,addition
11 - 8 =,3,4,2,1,subtraction
16 - 1 =,15,17,13,1,subtraction
4 - 1 =,3,5,1,0,subtraction
11 + 1 =,12,13,11,0,addition
12 - 9 =,3,5,1,0,subtraction
14 + 3 =,17,18,16,0,addition
1 + 14 =,15,17,13,0,addition
12 - 0 =,12,14,10,1,subtraction
14 + 18 =,32,33,31,0,addition
19 - 17 =,2,4,0,0,subtraction
8 + 9 =,17,18,16,1,addition
7 + 6 =,13,15,11,0,addition
8 - 5 =,3,5,1,1,subtraction
9 - 2 =,7,9,5,1,subtraction
16 - 12 =,4,5,3,0,subtraction
16 - 16 =,0,1,-1,1,subtraction
16 - 15 =,1,2,0,0,subtraction
7 + 20 =,27,29,25,0,addition
17 + 17 =,34,35,33,0,addition
19 - 3 =,16,18,14,1,subtraction
15 + 3 =,18,19,17,1,addition
2 + 9 =,11,12,10,1,addition
7 + 19 =,26,27,25,0,addition
19 - 5 =,14,16,12,1,subtraction
18 + 18 =,36,37,35,0,addition
17 - 13 =,4,6,2,0,subtraction
13 - 9 =,4,6,2,1,subtraction
13 - 2 =,11,12,10,1,subtraction
18 - 6 =,12,14,10,0,subtraction
20 - 5 =,15,17,13,1,subtraction
12 + 1 =,13,15,11,1,addition
0 + 2 =,2,3,1,0,addition
8 + 6 =,14,15,13,0,addition
10 + 17 =,27,28,26,1,addition
17 - 3 =,14,16,12,0,subtraction
16 + 2 =,18,19,17,0,addition
20 - 0 =,20,21,19,1,subtraction
10 - 6 =,4,5,3,1,subtraction
14 - 2 =,12,14,10,0,subtraction
20 - 2 =,18,19,17,0,subtraction
2 + 2 =,4,6,2,0,addition
13 - 8 =,5,7,3,1,subtraction
14 - 10 =,4,5,3,0,subtraction
16 + 16 =,32,33,31,1,addition
17 + 5 =,22,24,20,1,addition
14 - 2 =,12,13,11,0,subtraction
10 + 14 =,24,26,22,1,addition
7 - 6 =,1,3,-1,0,subtraction
8 - 8 =,0,1,-1,1,subtraction
14 - 13 =,1,3,-1,0,subtraction
15 + 13 =,28,30,26,1,addition
8 - 1 =,7,8,6,0,subtraction
8 + 12 =,20,21,19,1,addition
9 + 10 =,19,21,17,1,addition
8 + 16 =,24,26,22,0,addition
11 + 12 =,23,25,21,0,addition
13 + 6 =,19,20,18,0,addition
18 - 11 =,7,9,5,1,subtraction
13 + 9 =,22,23,21,0,addition
14 + 1 =,15,16,14,0,addition
20 + 18 =,38,39,37,1,addition
12 + 4 =,16,18,14,0,addition
7 + 2 =,9,11,7,0,addition
4 + 2 =,6,7,5,1,addition
13 + 3 =,16,18,14,1,addition
12 + 0 =,12,14,10,1,addition
6 + 18 =,24,26,22,1,addition
18 - 4 =,14,15,13,0,subtraction
20 + 15 =,35,36,34,1,addition
17 - 16 =,1,2,0,0,subtraction
0 + 0 =,0,1,-1,0,addition
2 + 13 =,15,16,14,0,addition
20 + 1 =,21,22,20,0,addition
18 - 3 =,15,17,13,0,subtraction
6 + 10 =,16,17,15,0,addition
11 + 11 =,22,23,21,0,addition
20 + 12 =,32,33,31,0,addition
7 - 6 =,1,2,0,1,subtraction
15 + 7 =,22,23,21,0,addition
14 - 14 =,0,2,-2,1,subtraction
10 + 9 =,19,21,17,0,addition
20 - 9 =,11,12,10,1,subtraction
12 + 9 =,21,22,20,1,addition
6 + 6 =,12,13,11,1,addition
2 + 17 =,19,20,18,1,addition
15 - 1 =,14,16,12,0,subtraction
15 - 15 =,0,1,-1,0,subtraction
19 - 15 =,4,5,3,0,subtraction
15 - 13 =,2,4,0,1,subtraction
20 - 2 =,18,20,16,0,subtraction
7 + 17 =,24,26,22,1,addition
8 - 3 =,5,7,3,0,subtraction
5 - 2 =,3,4,2,1,subtraction
13 - 5 =,8,9,7,0,subtraction
11 - 8 =,3,4,2,0,subtraction
19 - 2 =,17,18,16,1,subtraction
11 - 7 =,4,6,2,0,subtraction
3 + 14 =,17,19,15,0,addition
5 - 4 =,1,3,-1,1,subtraction
11 + 7 =,18,20,16,0,addition
2 + 8 =,10,11,9,0,addition
10 - 8 =,2,3,1,1,subtraction
13 - 6 =,7,8,6,0,subtraction
19 - 6 =,13,15,11,0,subtraction
15 - 5 =,10,11,9,1,subtraction
9 - 0 =,9,11,7,0,subtraction
2 + 14 =,16,17,15,0,addition
20 + 13 =,33,35,31,0,addition
8 + 0 =,8,10,6,0,addition
16 - 14 =,2,3,1,0,subtraction
18 - 10 =,8,10,6,0,subtraction
19 + 19 =,38,40,36,0,addition
5 + 15 =,20,22,18,0,addition
13 - 4 =,9,10,8,1,subtraction
